id,sentence,aspects,aspectCategories,text
3121,But the staff was so horrible to us.,"[{""term"": ""staff"", ""polarity"": ""negative"", ""start"": ""8"", ""end"": ""13""}]","[{""category"": ""service"", ""polarity"": ""negative""}]",But the staff was so horrible to us.
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""57"", ""end"": ""61""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]","To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""8""}, {""term"": ""kitchen"", ""polarity"": ""positive"", ""start"": ""55"", ""end"": ""62""}, {""term"": ""menu"", ""polarity"": ""neutral"", ""start"": ""141"", ""end"": ""145""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
2534,Where Gabriela personaly greets you and recommends you what to eat.,[],"[{""category"": ""service"", ""polarity"": ""positive""}]",Where Gabriela personaly greets you and recommends you what to eat.
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]","For those that go once and don't enjoy it, all I can say is that they just don't get it."
2846,"Not only was the food outstanding, but the little 'perks' were great.","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""17"", ""end"": ""21""}, {""term"": ""perks"", ""polarity"": ""positive"", ""start"": ""51"", ""end"": ""56""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}]","Not only was the food outstanding, but the little 'perks' were great."
1571,It is very overpriced and not very tasty.,[],"[{""category"": ""food"", ""polarity"": ""negative""}, {""category"": ""price"", ""polarity"": ""negative""}]",It is very overpriced and not very tasty.
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[{""term"": ""orrechiete with sausage and chicken"", ""polarity"": ""positive"", ""start"": ""27"", ""end"": ""62""}, {""term"": ""waiters"", ""polarity"": ""positive"", ""start"": ""76"", ""end"": ""83""}, {""term"": ""meats"", ""polarity"": ""neutral"", ""start"": ""152"", ""end"": ""157""}, {""term"": ""dish"", ""polarity"": ""neutral"", ""start"": ""113"", ""end"": ""117""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}]",Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[{""term"": ""Bagels"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""10""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
2391,Nevertheless the food itself is pretty good.,"[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""17"", ""end"": ""21""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",Nevertheless the food itself is pretty good.
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[{""term"": ""toast"", ""polarity"": ""negative"", ""start"": ""41"", ""end"": ""46""}, {""term"": ""mayonnaise"", ""polarity"": ""negative"", ""start"": ""18"", ""end"": ""28""}, {""term"": ""bacon"", ""polarity"": ""negative"", ""start"": ""126"", ""end"": ""131""}, {""term"": ""cheese"", ""polarity"": ""neutral"", ""start"": ""73"", ""end"": ""79""}, {""term"": ""ingredients"", ""polarity"": ""negative"", ""start"": ""57"", ""end"": ""68""}, {""term"": ""plate"", ""polarity"": ""neutral"", ""start"": ""170"", ""end"": ""175""}, {""term"": ""omelet"", ""polarity"": ""neutral"", ""start"": ""86"", ""end"": ""92""}]","[{""category"": ""food"", ""polarity"": ""negative""}]","They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[{""term"": ""drinks"", ""polarity"": ""neutral"", ""start"": ""82"", ""end"": ""88""}, {""term"": ""check"", ""polarity"": ""neutral"", ""start"": ""32"", ""end"": ""37""}]","[{""category"": ""service"", ""polarity"": ""conflict""}]","It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
2200,The design and atmosphere is just as good.,"[{""term"": ""design"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""10""}, {""term"": ""atmosphere"", ""polarity"": ""positive"", ""start"": ""15"", ""end"": ""25""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}]",The design and atmosphere is just as good.
3195,He has visited Thailand and is quite expert on the cuisine.,"[{""term"": ""cuisine"", ""polarity"": ""positive"", ""start"": ""51"", ""end"": ""58""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",He has visited Thailand and is quite expert on the cuisine.
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
3359,The pizza is the best if you like thin crusted pizza.,"[{""term"": ""pizza"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""9""}, {""term"": ""thin crusted pizza"", ""polarity"": ""neutral"", ""start"": ""34"", ""end"": ""52""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",The pizza is the best if you like thin crusted pizza.
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
1829,"He can't help, they're bought up so fast.",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]","He can't help, they're bought up so fast."
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",[],"[{""category"": ""ambience"", ""polarity"": ""negative""}]","Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""neutral""}]","i have eaten here a handful of times, for no reason besides sheer convenience."
2559,Obviously run by folks who know a pie.,[],"[{""category"": ""service"", ""polarity"": ""positive""}]",Obviously run by folks who know a pie.
716,We were very disappointed.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]",We were very disappointed.
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}, {""category"": ""price"", ""polarity"": ""positive""}]",IT IS DEFINITELY SPECIAL AND AFFORDABLE.
385,I really liked this place.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",I really liked this place.
1350,I will be going back very soon.,[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]",I will be going back very soon.
3534,"All the money went into the interior decoration, none of it went to the chefs.","[{""term"": ""interior decoration"", ""polarity"": ""positive"", ""start"": ""28"", ""end"": ""47""}, {""term"": ""chefs"", ""polarity"": ""negative"", ""start"": ""72"", ""end"": ""77""}]","[{""category"": ""ambience"", ""polarity"": ""positive""}, {""category"": ""food"", ""polarity"": ""negative""}]","All the money went into the interior decoration, none of it went to the chefs."
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[{""term"": ""seats"", ""polarity"": ""negative"", ""start"": ""4"", ""end"": ""9""}]","[{""category"": ""ambience"", ""polarity"": ""negative""}]",The seats are uncomfortable if you are sitting against the wall on wooden benches.
565,"I asked for seltzer with lime, no ice.","[{""term"": ""seltzer with lime"", ""polarity"": ""neutral"", ""start"": ""12"", ""end"": ""29""}]","[{""category"": ""food"", ""polarity"": ""neutral""}]","I asked for seltzer with lime, no ice."
387,It was pretty inexpensive too.,[],"[{""category"": ""price"", ""polarity"": ""positive""}]",It was pretty inexpensive too.
