review_id,text,aspects,sentiments
0,but staff so horrible to u .,"['but staff', 'horrible staff']","[{'aspect': 'but staff', 'sentiment': 'negative', 'score': -1.0, 'context': 'but staff so horrible to u .'}, {'aspect': 'horrible staff', 'sentiment': 'neutral', 'score': 0.0}]"
1,"to be completely fair , redeeming factor food , average , but make up deficiency of teodora .","['average food', 'factor food']","[{'aspect': 'average food', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'factor food', 'sentiment': 'positive', 'score': 0.35, 'context': 'to be completely fair , redeeming factor food , average , but make up'}]"
2,"food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not .","['capable kitchen', 'exceptional kitchen']","[{'aspect': 'capable kitchen', 'sentiment': 'positive', 'score': 0.56, 'context': 'food is uniformly exceptional , capable kitchen proudly whip up whatever feel like'}, {'aspect': 'exceptional kitchen', 'sentiment': 'neutral', 'score': 0.0}]"
3,gabriela personaly greets recommends to eat .,"['gabriela personaly greets', 'personaly greets', 'gabriela greets', 'gabriela personaly']","[{'aspect': 'gabriela personaly greets', 'sentiment': 'neutral', 'score': 0.0, 'context': 'gabriela personaly greets recommends to eat .'}, {'aspect': 'personaly greets', 'sentiment': 'neutral', 'score': 0.0, 'context': 'gabriela personaly greets recommends to eat .'}, {'aspect': 'gabriela greets', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'gabriela personaly', 'sentiment': 'neutral', 'score': 0.0, 'context': 'gabriela personaly greets recommends to eat .'}]"
4,"go enjoy it , say is get it .",[],[]
5,"not food outstanding , but little perk great .","['little perk', 'not food', 'outstanding food']","[{'aspect': 'little perk', 'sentiment': 'negative', 'score': -0.37, 'context': 'not food outstanding , but little perk great .'}, {'aspect': 'not food', 'sentiment': 'negative', 'score': -0.37, 'context': 'not food outstanding , but little perk great'}, {'aspect': 'outstanding food', 'sentiment': 'neutral', 'score': 0.0}]"
6,it is overpriced not tasty .,[],[]
7,agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .,"['usually waiter kind', 'waiter kind']","[{'aspect': 'usually waiter kind', 'sentiment': 'neutral', 'score': -0.08, 'context': 'is orrechiete with sausage and chicken usually waiter kind enough to split dish in half'}, {'aspect': 'waiter kind', 'sentiment': 'neutral', 'score': -0.08, 'context': 'orrechiete with sausage and chicken usually waiter kind enough to split dish in half'}]"
8,"bagel an outstanding taste terrific texture , chewy yet not gummy .","['terrific texture', 'outstanding texture']","[{'aspect': 'terrific texture', 'sentiment': 'negative', 'score': -0.25, 'context': 'bagel an outstanding taste terrific texture , chewy yet not gummy .'}, {'aspect': 'outstanding texture', 'sentiment': 'neutral', 'score': 0.0}]"
9,nevertheless food is pretty good .,[],[]
10,"not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it .","['omelet bacon', 'hot temperature', 'forgot toast', 'not mayonnaise', 'temperature bacon']","[{'aspect': 'omelet bacon', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'hot temperature', 'sentiment': 'positive', 'score': 0.25, 'context': 'ie cheese in an omelet , hot temperature bacon so cooked it crumbled on'}, {'aspect': 'forgot toast', 'sentiment': 'neutral', 'score': -0.0, 'context': 'not mayonnaise , forgot toast , left ingredient ie cheese in'}, {'aspect': 'not mayonnaise', 'sentiment': 'neutral', 'score': -0.0, 'context': 'not mayonnaise , forgot toast , left ingredient'}, {'aspect': 'temperature bacon', 'sentiment': 'positive', 'score': 0.25, 'context': 'cheese in an omelet , hot temperature bacon so cooked it crumbled on plate'}]"
11,"it took half an hour to get check , perfect since we could sit , drink talk !",['half an hour'],"[{'aspect': 'half an hour', 'sentiment': 'positive', 'score': 0.42, 'context': 'it took half an hour to get check , perfect since'}]"
12,design atmosphere is a good .,['design atmosphere'],"[{'aspect': 'design atmosphere', 'sentiment': 'positive', 'score': 0.7, 'context': 'design atmosphere is a good .'}]"
13,he visited thailand is quite expert on cuisine .,['quite expert'],"[{'aspect': 'quite expert', 'sentiment': 'neutral', 'score': 0.0, 'context': 'he visited thailand is quite expert on cuisine .'}]"
14,would definitely recommend mary am making it one of my regular neighborhood haunt .,"['my regular neighborhood haunt', 'regular haunt', 'neighborhood haunt']","[{'aspect': 'my regular neighborhood haunt', 'sentiment': 'neutral', 'score': 0.0, 'context': 'mary am making it one of my regular neighborhood haunt .'}, {'aspect': 'regular haunt', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'neighborhood haunt', 'sentiment': 'neutral', 'score': 0.0, 'context': 'making it one of my regular neighborhood haunt .'}]"
15,pizza is best if like thin crusted pizza .,"['thin crusted pizza', 'thin pizza', 'crusted pizza']","[{'aspect': 'thin crusted pizza', 'sentiment': 'positive', 'score': 0.3, 'context': 'pizza is best if like thin crusted pizza .'}, {'aspect': 'thin pizza', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'crusted pizza', 'sentiment': 'positive', 'score': 0.3, 'context': 'pizza is best if like thin crusted pizza .'}]"
16,my girlfriend stumbled onto hopping night great time !,"['hopping night', 'my girlfriend', 'great time']","[{'aspect': 'hopping night', 'sentiment': 'positive', 'score': 1.0, 'context': 'my girlfriend stumbled onto hopping night great time !'}, {'aspect': 'my girlfriend', 'sentiment': 'positive', 'score': 0.8, 'context': 'my girlfriend stumbled onto hopping night great time'}, {'aspect': 'great time', 'sentiment': 'positive', 'score': 1.0, 'context': 'my girlfriend stumbled onto hopping night great time !'}]"
17,"he help , re bought up so fast .",[],[]
18,"secondly , on night overwhelmed by upper east side lady perfume .","['east perfume', 'lady perfume', 'side lady', 'upper perfume']","[{'aspect': 'east perfume', 'sentiment': 'neutral', 'score': 0.0}, {'aspect': 'lady perfume', 'sentiment': 'neutral', 'score': 0.0, 'context': 'night overwhelmed by upper east side lady perfume .'}, {'aspect': 'side lady', 'sentiment': 'neutral', 'score': 0.0, 'context': 'on night overwhelmed by upper east side lady perfume .'}, {'aspect': 'upper perfume', 'sentiment': 'neutral', 'score': 0.0}]"
19,"eaten handful of time , no reason besides sheer convenience .",['sheer convenience'],"[{'aspect': 'sheer convenience', 'sentiment': 'neutral', 'score': -0.0, 'context': 'of time , no reason besides sheer convenience .'}]"
20,obviously run by folk know pie .,"['folk know pie', 'know pie']","[{'aspect': 'folk know pie', 'sentiment': 'neutral', 'score': 0.0, 'context': 'obviously run by folk know pie .'}, {'aspect': 'know pie', 'sentiment': 'neutral', 'score': 0.0, 'context': 'obviously run by folk know pie .'}]"
21,we disappointed .,[],[]
22,it is definitely special affordable .,[],[]
23,really liked .,[],[]
24,be going back soon .,[],[]
25,"money went interior decoration , none of it went to chef .",['interior decoration'],"[{'aspect': 'interior decoration', 'sentiment': 'neutral', 'score': -0.0, 'context': 'money went interior decoration , none of it went to'}]"
26,seat uncomfortable if sitting wall on wooden bench .,"['wooden bench', 'uncomfortable seat']","[{'aspect': 'wooden bench', 'sentiment': 'negative', 'score': -0.25, 'context': 'seat uncomfortable if sitting wall on wooden bench .'}, {'aspect': 'uncomfortable seat', 'sentiment': 'neutral', 'score': 0.0}]"
27,"asked seltzer with lime , no ice .",['no ice'],"[{'aspect': 'no ice', 'sentiment': 'neutral', 'score': -0.0, 'context': 'asked seltzer with lime , no ice .'}]"
28,it pretty inexpensive .,[],[]
29,not be back .,[],[]
30,"go alone even two people enough whole experience , pickle and selection of meat and seafood .","['whole experience', 'enough experience']","[{'aspect': 'whole experience', 'sentiment': 'neutral', 'score': 0.1, 'context': 'go alone even two people enough whole experience , pickle and selection of meat'}, {'aspect': 'enough experience', 'sentiment': 'neutral', 'score': 0.0}]"
31,my suggestion is to eat family style ll want to try dish .,"['my suggestion', 'family style']","[{'aspect': 'my suggestion', 'sentiment': 'neutral', 'score': 0.0, 'context': 'my suggestion is to eat family style ll'}, {'aspect': 'family style', 'sentiment': 'neutral', 'score': 0.0, 'context': 'my suggestion is to eat family style ll want to try dish .'}]"
32,"best of is warm vibe , owner is super friendly service is fast .","['friendly service', 'warm vibe', 'super friendly service']","[{'aspect': 'friendly service', 'sentiment': 'positive', 'score': 0.38, 'context': 'warm vibe , owner is super friendly service is fast .'}, {'aspect': 'warm vibe', 'sentiment': 'positive', 'score': 0.58, 'context': 'best of is warm vibe , owner is super friendly service'}, {'aspect': 'super friendly service', 'sentiment': 'positive', 'score': 0.38, 'context': 'is warm vibe , owner is super friendly service is fast .'}]"
33,value .,[],[]
34,faan got great concept but little rough on delivery .,['great concept'],"[{'aspect': 'great concept', 'sentiment': 'conflict', 'score': 0.17, 'context': 'faan got great concept but little rough on delivery .'}]"
