id,sentence,aspects,aspectCategories,text,sentence_cleaned,sentence_tokens,sentence_no_stopwords,sentence_lemmatized,sentence_final
3121,but staff so horrible to u .,"[{""term"": ""staff"", ""polarity"": ""negative"", ""start"": ""8"", ""end"": ""13""}]","[{""category"": ""service"", ""polarity"": ""negative""}]",but staff so horrible to u .,but the staff was so horrible to us.,"['but', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us', '.']","['but', 'staff', 'so', 'horrible', 'to', 'us', '.']","['but', 'staff', 'so', 'horrible', 'to', 'u', '.']",but staff so horrible to u .
2777,"to be completely fair , redeeming factor food , average , but make up deficiency of teodora .","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""57"", ""end"": ""61""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""anecdotes/miscellaneous"", ""polarity"": ""negative""}]","to be completely fair , redeeming factor food , average , but make up deficiency of teodora .","to be completely fair, the only redeeming factor was the food, which was above average, but couldn t make up for all the other deficiencies of teodora.","['to', 'be', 'completely', 'fair', ',', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', ',', 'which', 'was', 'above', 'average', ',', 'but', 'couldn', 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'teodora', '.']","['to', 'be', 'completely', 'fair', ',', 'redeeming', 'factor', 'food', ',', 'average', ',', 'but', 'make', 'up', 'deficiencies', 'of', 'teodora', '.']","['to', 'be', 'completely', 'fair', ',', 'redeeming', 'factor', 'food', ',', 'average', ',', 'but', 'make', 'up', 'deficiency', 'of', 'teodora', '.']","to be completely fair , redeeming factor food , average , but make up deficiency of teodora ."
1634,"food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not .","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""8""}, {""term"": ""kitchen"", ""polarity"": ""positive"", ""start"": ""55"", ""end"": ""62""}, {""term"": ""menu"", ""polarity"": ""neutral"", ""start"": ""141"", ""end"": ""145""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not .","the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it s on the menu or not.","['the', 'food', 'is', 'uniformly', 'exceptional', ',', 'with', 'very', 'capable', 'kitchen', 'which', 'will', 'proudly', 'whip', 'up', 'whatever', 'you', 'feel', 'like', 'eating', ',', 'whether', 'it', 'on', 'the', 'menu', 'or', 'not', '.']","['food', 'is', 'uniformly', 'exceptional', ',', 'capable', 'kitchen', 'proudly', 'whip', 'up', 'whatever', 'feel', 'like', 'eating', ',', 'whether', 'it', 'on', 'menu', 'or', 'not', '.']","['food', 'is', 'uniformly', 'exceptional', ',', 'capable', 'kitchen', 'proudly', 'whip', 'up', 'whatever', 'feel', 'like', 'eating', ',', 'whether', 'it', 'on', 'menu', 'or', 'not', '.']","food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not ."
2534,gabriela personaly greets recommends to eat .,[],"[{""category"": ""service"", ""polarity"": ""positive""}]",gabriela personaly greets recommends to eat .,where gabriela personaly greets you and recommends you what to eat.,"['where', 'gabriela', 'personaly', 'greets', 'you', 'and', 'recommends', 'you', 'what', 'to', 'eat', '.']","['gabriela', 'personaly', 'greets', 'recommends', 'to', 'eat', '.']","['gabriela', 'personaly', 'greets', 'recommends', 'to', 'eat', '.']",gabriela personaly greets recommends to eat .
583,"go enjoy it , say is get it .",[],"[{""category"": ""anecdotes/miscellaneous"", ""polarity"": ""positive""}]","go enjoy it , say is get it .","for those that go once and don t enjoy it, all i can say is that they just don t get it.","['for', 'those', 'that', 'go', 'once', 'and', 'don', 'enjoy', 'it', ',', 'all', 'can', 'say', 'is', 'that', 'they', 'just', 'don', 'get', 'it', '.']","['go', 'enjoy', 'it', ',', 'say', 'is', 'get', 'it', '.']","['go', 'enjoy', 'it', ',', 'say', 'is', 'get', 'it', '.']","go enjoy it , say is get it ."
2846,"not food outstanding , but little perk great .","[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""17"", ""end"": ""21""}, {""term"": ""perks"", ""polarity"": ""positive"", ""start"": ""51"", ""end"": ""56""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}]","not food outstanding , but little perk great .","not only was the food outstanding, but the little perks were great.","['not', 'only', 'was', 'the', 'food', 'outstanding', ',', 'but', 'the', 'little', 'perks', 'were', 'great', '.']","['not', 'food', 'outstanding', ',', 'but', 'little', 'perks', 'great', '.']","['not', 'food', 'outstanding', ',', 'but', 'little', 'perk', 'great', '.']","not food outstanding , but little perk great ."
1571,it is overpriced not tasty .,[],"[{""category"": ""food"", ""polarity"": ""negative""}, {""category"": ""price"", ""polarity"": ""negative""}]",it is overpriced not tasty .,it is very overpriced and not very tasty.,"['it', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty', '.']","['it', 'is', 'overpriced', 'not', 'tasty', '.']","['it', 'is', 'overpriced', 'not', 'tasty', '.']",it is overpriced not tasty .
1458,agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .,"[{""term"": ""orrechiete with sausage and chicken"", ""polarity"": ""positive"", ""start"": ""27"", ""end"": ""62""}, {""term"": ""waiters"", ""polarity"": ""positive"", ""start"": ""76"", ""end"": ""83""}, {""term"": ""meats"", ""polarity"": ""neutral"", ""start"": ""152"", ""end"": ""157""}, {""term"": ""dish"", ""polarity"": ""neutral"", ""start"": ""113"", ""end"": ""117""}]","[{""category"": ""food"", ""polarity"": ""positive""}, {""category"": ""service"", ""polarity"": ""positive""}]",agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .,our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats .,"['our', 'agreed', 'favorite', 'is', 'the', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'the', 'waiters', 'are', 'kind', 'enough', 'to', 'split', 'the', 'dish', 'in', 'half', 'so', 'you', 'get', 'to', 'sample', 'both', 'meats', '.']","['agreed', 'favorite', 'is', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'waiters', 'kind', 'enough', 'to', 'split', 'dish', 'in', 'half', 'so', 'get', 'to', 'sample', 'meats', '.']","['agreed', 'favorite', 'is', 'orrechiete', 'with', 'sausage', 'and', 'chicken', 'usually', 'waiter', 'kind', 'enough', 'to', 'split', 'dish', 'in', 'half', 'so', 'get', 'to', 'sample', 'meat', '.']",agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .
3161,"bagel an outstanding taste terrific texture , chewy yet not gummy .","[{""term"": ""Bagels"", ""polarity"": ""positive"", ""start"": ""4"", ""end"": ""10""}]","[{""category"": ""food"", ""polarity"": ""positive""}]","bagel an outstanding taste terrific texture , chewy yet not gummy .","the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['the', 'bagels', 'have', 'an', 'outstanding', 'taste', 'with', 'terrific', 'texture', ',', 'both', 'chewy', 'yet', 'not', 'gummy', '.']","['bagels', 'an', 'outstanding', 'taste', 'terrific', 'texture', ',', 'chewy', 'yet', 'not', 'gummy', '.']","['bagel', 'an', 'outstanding', 'taste', 'terrific', 'texture', ',', 'chewy', 'yet', 'not', 'gummy', '.']","bagel an outstanding taste terrific texture , chewy yet not gummy ."
2391,nevertheless food is pretty good .,"[{""term"": ""food"", ""polarity"": ""positive"", ""start"": ""17"", ""end"": ""21""}]","[{""category"": ""food"", ""polarity"": ""positive""}]",nevertheless food is pretty good .,nevertheless the food itself is pretty good.,"['nevertheless', 'the', 'food', 'itself', 'is', 'pretty', 'good', '.']","['nevertheless', 'food', 'is', 'pretty', 'good', '.']","['nevertheless', 'food', 'is', 'pretty', 'good', '.']",nevertheless food is pretty good .
