id,text,aspects,sentence
0,but staff so horrible to u .,"['but staff', 'horrible staff']",but staff so horrible to u .
1,"to be completely fair , redeeming factor food , average , but make up deficiency of teodora .","['fair food', 'factor food', 'redeeming factor']","to be completely fair , redeeming factor food , average , but make up deficiency of teodora ."
2,"food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not .","['capable kitchen', 'exceptional kitchen']","food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not ."
3,gabriela personaly greets recommends to eat .,"['personaly greets', 'gabriela greets', 'gabriela personaly greets']",gabriela personaly greets recommends to eat .
4,"go enjoy it , say is get it .",[],"go enjoy it , say is get it ."
5,"not food outstanding , but little perk great .","['little perk', 'not food', 'outstanding food']","not food outstanding , but little perk great ."
6,it is overpriced not tasty .,[],it is overpriced not tasty .
7,agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .,"['sample meat', 'to sample meat']",agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .
8,"bagel an outstanding taste terrific texture , chewy yet not gummy .","['outstanding texture', 'terrific texture']","bagel an outstanding taste terrific texture , chewy yet not gummy ."
9,nevertheless food is pretty good .,[],nevertheless food is pretty good .
10,"not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it .","['an omelet', 'ie cheese', 'temperature bacon', 'hot temperature bacon', 'hot bacon']","not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it ."
11,"it took half an hour to get check , perfect since we could sit , drink talk !",['half an hour'],"it took half an hour to get check , perfect since we could sit , drink talk !"
12,design atmosphere is a good .,"['a good', 'design atmosphere']",design atmosphere is a good .
13,he visited thailand is quite expert on cuisine .,[],he visited thailand is quite expert on cuisine .
14,would definitely recommend mary am making it one of my regular neighborhood haunt .,"['my regular neighborhood haunt', 'neighborhood haunt', 'regular haunt']",would definitely recommend mary am making it one of my regular neighborhood haunt .
15,pizza is best if like thin crusted pizza .,"['thin crusted pizza', 'thin pizza', 'crusted pizza']",pizza is best if like thin crusted pizza .
16,my girlfriend stumbled onto hopping night great time !,"['my girlfriend', 'hopping night', 'great time']",my girlfriend stumbled onto hopping night great time !
17,"he help , re bought up so fast .",[],"he help , re bought up so fast ."
18,"secondly , on night overwhelmed by upper east side lady perfume .","['upper perfume', 'lady perfume', 'side lady', 'east side']","secondly , on night overwhelmed by upper east side lady perfume ."
19,"eaten handful of time , no reason besides sheer convenience .","['sheer convenience', 'no reason']","eaten handful of time , no reason besides sheer convenience ."
20,obviously run by folk know pie .,"['folk know pie', 'folk know', 'know pie']",obviously run by folk know pie .
21,we disappointed .,[],we disappointed .
22,it is definitely special affordable .,[],it is definitely special affordable .
23,really liked .,[],really liked .
24,be going back soon .,[],be going back soon .
25,"money went interior decoration , none of it went to chef .",['interior decoration'],"money went interior decoration , none of it went to chef ."
26,seat uncomfortable if sitting wall on wooden bench .,"['uncomfortable seat', 'wooden bench']",seat uncomfortable if sitting wall on wooden bench .
27,"asked seltzer with lime , no ice .",['no ice'],"asked seltzer with lime , no ice ."
28,it pretty inexpensive .,[],it pretty inexpensive .
29,not be back .,[],not be back .
