id,text,aspects
0,but staff so horrible to u .,"['but staff', 'horrible staff']"
1,"to be completely fair , redeeming factor food , average , but make up deficiency of teodora .","['factor food', 'average food']"
2,"food is uniformly exceptional , capable kitchen proudly whip up whatever feel like eating , whether it on menu or not .","['capable kitchen', 'exceptional kitchen']"
3,gabriela personaly greets recommends to eat .,"['gabriela personaly', 'gabriela personaly greets', 'personaly greets', 'gabriela greets']"
4,"go enjoy it , say is get it .",[]
5,"not food outstanding , but little perk great .","['little perk', 'outstanding food', 'not food']"
6,it is overpriced not tasty .,[]
7,agreed favorite is orrechiete with sausage and chicken usually waiter kind enough to split dish in half so get to sample meat .,"['waiter kind', 'usually waiter kind']"
8,"bagel an outstanding taste terrific texture , chewy yet not gummy .","['outstanding texture', 'terrific texture']"
9,nevertheless food is pretty good .,[]
10,"not mayonnaise , forgot toast , left ingredient ie cheese in an omelet , hot temperature bacon so cooked it crumbled on plate touched it .","['hot temperature', 'temperature bacon', 'not mayonnaise', 'forgot toast', 'omelet bacon']"
11,"it took half an hour to get check , perfect since we could sit , drink talk !",['half an hour']
12,design atmosphere is a good .,['design atmosphere']
13,he visited thailand is quite expert on cuisine .,['quite expert']
14,would definitely recommend mary am making it one of my regular neighborhood haunt .,"['my regular neighborhood haunt', 'regular haunt', 'neighborhood haunt']"
15,pizza is best if like thin crusted pizza .,"['thin pizza', 'thin crusted pizza', 'crusted pizza']"
16,my girlfriend stumbled onto hopping night great time !,"['my girlfriend', 'hopping night', 'great time']"
17,"he help , re bought up so fast .",[]
18,"secondly , on night overwhelmed by upper east side lady perfume .","['east perfume', 'side lady', 'lady perfume', 'upper perfume']"
19,"eaten handful of time , no reason besides sheer convenience .",['sheer convenience']
20,obviously run by folk know pie .,"['folk know pie', 'know pie']"
21,we disappointed .,[]
22,it is definitely special affordable .,[]
23,really liked .,[]
24,be going back soon .,[]
25,"money went interior decoration , none of it went to chef .",['interior decoration']
26,seat uncomfortable if sitting wall on wooden bench .,"['uncomfortable seat', 'wooden bench']"
27,"asked seltzer with lime , no ice .",['no ice']
28,it pretty inexpensive .,[]
29,not be back .,[]
30,"go alone even two people enough whole experience , pickle and selection of meat and seafood .","['enough experience', 'whole experience']"
31,my suggestion is to eat family style ll want to try dish .,"['my suggestion', 'family style']"
32,"best of is warm vibe , owner is super friendly service is fast .","['warm vibe', 'super friendly service', 'friendly service']"
33,value .,[]
34,faan got great concept but little rough on delivery .,['great concept']
35,"incredible food , to warm atmosphere , to friendly service , downtown neighborhood miss beat .","['neighborhood beat', 'incredible food', 'friendly service', 'warm atmosphere', 'miss beat', 'downtown beat']"
36,"great food at reasonable price , make an evening be beat !","['reasonable price', 'great food', 'an evening']"
37,look foward to trying ruben upon returning .,[]
38,steakhouse seems to hold candle to roth is strip house .,['strip house']
39,we usually go to chart house to celebrate birthday or anniversary .,['chart house']
40,little cute interior decor affordable city price .,"['city price', 'affordable city', 'decor price', 'little price', 'cute price']"
41,ll adore it .,[]
42,two word free wine .,"['free wine', 'two word free wine']"
43,price is reasonable although service is poor .,[]
44,"quantity is also good , come satisfied .",[]
45,to roth twice time disappointing .,['twice time']
46,worth visiting st ave it is original store .,"['original store', 'st ave']"
47,"stumbled upon second floor walk up two friday ago two friend in town l.a. serious sushi lover , we sat at sushi bar to be closer to action .","['two friend', 'second floor', 'sushi bar']"
48,"raga is romantic , cozy .",[]
49,fried rice is amazing .,['fried rice']
50,"three course choice include excellent mussel , puff pastry goat cheese salad with delicious dressing , hanger steak au poivre is of world .","['course choice', 'delicious dressing', 'excellent mussel', 'puff pastry goat cheese', 'three course choice', 'puff pastry']"
51,it perfect to amanzing indian food .,['indian food']
52,place is so cool service is prompt curtious .,"['cool service', 'so cool service']"
53,at end re left with mild broth with noodle slurp of cup .,"['mild broth', 'noodle slurp']"
54,wonder delicious meal little money .,"['delicious meal', 'little money', 'delicious meal little money']"
55,food delicious but do not come on empty stomach .,"['food delicious', 'empty stomach']"
56,wine list is excellent .,['wine list']
57,so garantuan fit in toaster .,[]
58,"ive to many thai restaurant in manhattan , toon is by far best thai food ive except my mom of course .","['thai food', 'far best thai food', 'many restaurant', 'many thai restaurant', 'my mom', 'thai restaurant', 'best food']"
59,wouldnt even let me finish my glass of wine offering another .,['my glass']
60,highly recommend sophia pizza .,['sophia pizza']
61,"whem asked , we to ask detailed question so we knew special .",['detailed question']
62,is consistently great to dine lunch or dinner .,[]
63,"nice atmosphere , service pleasant desert good .","['service desert', 'nice atmosphere', 'service pleasant desert', 'pleasant desert']"
64,people bring go back on bring friend !,[]
65,really enjoying at bar we sat at table dinner .,['table dinner']
66,"fabulous service , fantastic food , chilled atmosphere environment .","['chilled environment', 'chilled atmosphere environment', 'fantastic food', 'fabulous service', 'atmosphere environment']"
67,not wanted to hear .,[]
68,try lasagnette appetizer .,['lasagnette appetizer']
69,"pricey , but worth try , at least .",[]
70,"ve time , usually end up sitting next to pretty odd people .","['odd people', 'pretty odd people']"
71,liked beer selection !,['beer selection']
72,"great food , good size menu , great service an unpretensious setting .","['an unpretensious setting', 'size menu', 'unpretensious setting', 'great service', 'good size', 'great food']"
73,go romantic dinner but not an wow dining experience .,"['wow experience', 'dining experience', 'romantic dinner']"
74,wait to go back .,[]
75,grew up eating dosa yet to find in ny to satisfy my taste bud .,"['my taste bud', 'taste bud']"
76,wine list selection is good wine by glass generously filled to top .,"['wine list selection', 'good wine', 'wine list', 'list selection']"
77,"great variety on menu , eat often never get bored .",['great variety']
78,menu is limited think we counted or entree .,[]
79,"if carnivore , come hungry leave satisfied ever .",[]
80,menu is limited but almost of dish excellent .,[]
81,not crazy sake martini .,"['sake martini', 'not crazy sake martini', 'crazy martini']"
82,"great bagel , spread good to hang in .",['great bagel']
83,"service varys day to day sometimes re nice , sometimes not .","['varys day', 'service varys']"
84,"whoever jazz duo , on point .",[]
85,one thing liked is never felt rushed or pressured to give up my table ot incoming guest .,"['my table', 'one thing', 'incoming guest', 'ot incoming guest']"
86,is great bargain .,['great bargain']
87,we happened upon purely by accident pleased result .,"['accident pleased result', 'pleased result']"
88,"unfortunately , food is outstanding , but everything else is pit .",[]
89,deff recimmend bukhara also opened two new location guess ill try .,"['ill try', 'deff recimmend bukhara', 'recimmend bukhara', 'two new location', 'new location']"
90,we always delicious meal always leave feeling satisfied .,[]
91,"dip ingredient in chopstick , swirl around , eat .",['dip ingredient']
92,first went to enjoy garden terrace .,['garden terrace']
93,"my husband perfect , my well done dry .",['my husband']
94,"everyone spoken is super friendly , helpful , willing to extra mile customer .","['extra customer', 'extra mile customer', 'mile customer']"
95,pizza pretty good huge .,['huge pizza']
96,sapphire is indian go to in nyc .,[]
97,"cuisine ve gathered is authentic taiwanese , though different ve accustomed to in taipei .",[]
98,heartily recommend .,[]
